zonei,areakey,lat,lon,osgb36_east,osgb36_north,area
7299,S02000099,57.665226,-2.527497,368532.3,863950.9,1411057.6
7300,S02000100,57.66886,-2.489078,370827.06,864338.44,1578368.9
7301,S02000101,57.682636,-2.0119486,399287.56,865766.6,1483878.1
7302,S02000102,57.68886,-2.028098,398324.9,866460,976195.94
7303,S02000103,57.688957,-2.0134485,399198.25,866470.5,570521.94
7304,S02000104,57.69416,-2.0102196,399390.84,867049.6,1305937
7305,S02000105,56.480392,-2.8333254,348678.66,732258.7,952935.3
7306,S02000106,56.485577,-2.8179793,349630.6,732824.4,1376084.2
7307,S02000107,56.499546,-2.7313426,354981.94,734318.9,1552661.1
7308,S02000108,56.50614,-2.7029297,356738.38,735034.5,2058617.9
7309,S02000109,56.5193,-2.7858129,351654.22,736554.3,88970176
7310,S02000110,56.517464,-3.0458353,335654.28,736563.25,108896110
7311,S02000111,56.559124,-2.5982847,363230,740870.44,1701264.4
7312,S02000112,56.560524,-2.5813036,364274.94,741017.4,1197273.4
7313,S02000113,56.563255,-2.6083193,362617.34,741335.44,2593153.2
7314,S02000114,56.568752,-2.5692728,365021.9,741926.9,1116453.8
7315,S02000115,56.57232,-2.5848546,364067.88,742331.94,1551165.2
7316,S02000116,56.613598,-2.8738084,346374.2,747114.56,211513650
7317,S02000117,56.628727,-3.063666,334749.16,748962.8,167983090
7318,S02000118,56.639233,-2.9001186,344797,749988.44,1515956.4
7319,S02000119,56.643204,-2.8814867,345945.3,750415.3,1336628.6
7320,S02000120,56.65155,-2.877695,346189.7,751341.56,2099466.2
7321,S02000121,56.65492,-2.5247064,367833.5,751495,68673760
7322,S02000122,56.655396,-2.6737192,358699.12,751628,298354270
7323,S02000123,56.678013,-3.004567,338454.8,754393.06,2284755.2
7324,S02000124,56.7116,-2.4581697,371954.6,757774.75,2109046.5
7325,S02000125,56.72347,-2.4668427,371432.7,759099.06,1300765.5
7326,S02000126,56.73134,-2.6457863,360491.1,760063.8,1301269.5
7327,S02000127,56.736145,-2.6791675,358454.16,760618.25,7840105
7328,S02000128,56.748657,-2.5266562,367794.16,761928.94,56294580
7329,S02000129,56.819386,-3.0164256,337961.75,770138.06,1.1495731E+09
7330,S02000130,55.423855,-5.605971,171841.2,620282.7,1991296.9
7331,S02000131,55.61039,-5.5775585,174707.1,640932.8,960383940
7332,S02000132,55.831554,-5.0994945,205901.83,664082.8,118864584
7333,S02000133,55.837727,-5.0423207,209511.14,664610.9,2973611
7334,S02000134,55.863842,-6.103054,143304.38,670943.75,1.082421E+09
7335,S02000135,55.945583,-4.9354296,216711.06,676318.94,2927913
7336,S02000136,55.97403,-4.953032,215747.6,679529.56,13090421
7337,S02000137,55.97726,-5.1711755,202158.2,680492.25,415604640
7338,S02000138,56.000553,-4.7108455,230970.06,681861.1,1121957.8
7339,S02000139,56.0061,-4.7293534,229840.73,682523.56,1056098.9
7340,S02000140,56.012028,-4.723663,230221.42,683168.94,1858531
7341,S02000141,56.02507,-4.7758074,227030.25,684748.8,4026528
7342,S02000142,56.02716,-5.4086018,187626.08,686747.2,13326362
7343,S02000143,56.059498,-4.814395,224782.64,688676.1,74338760
7344,S02000144,56.06312,-4.691968,232418.2,688775.2,156506100
7345,S02000145,56.073895,-5.4688025,184138.33,692131.5,597323100
7346,S02000146,56.170963,-4.9098654,219363.98,701321.6,658236500
7347,S02000147,56.379,-5.078623,209926.84,724917,1.2530246E+09
7348,S02000148,56.399734,-5.527956,182316.3,728555.56,15352667
7349,S02000149,56.420937,-5.471067,185943.94,730734.6,1262747.4
7350,S02000150,56.482784,-5.309527,196233,737122.3,493449470
7351,S02000151,56.464417,-6.127547,145775.5,737807.6,1.0732564E+09
7352,S02000152,56.111774,-3.715339,293341.6,692248.25,29138620
7353,S02000153,56.113102,-3.791315,288621.84,692515.7,2234155
7354,S02000154,56.116753,-3.8079085,287600.9,692949,2317825.2
7355,S02000155,56.126957,-3.7584121,290706.7,694005,7796161
7356,S02000156,56.125862,-3.8483732,285112.66,694029.2,6998093.5
7357,S02000157,56.12965,-3.8078415,287642.66,694383.9,2590126.2
7358,S02000158,56.143776,-3.7405636,291863.16,695848.44,10903680
7359,S02000159,56.142693,-3.817913,287055.06,695851.5,4975074.5
7360,S02000160,56.147717,-3.8487465,285154.62,696461.44,3479065.8
7361,S02000161,56.174294,-3.644871,297888.66,699098,32739696
7362,S02000162,56.17439,-3.8055027,287918.34,699358.44,27104652
7363,S02000163,56.1767,-3.7331798,292413.9,699500.1,28773584
7364,S02000164,54.78841,-4.449802,242494.88,546412.5,214636210
7365,S02000165,54.809555,-4.9567,210013,550021.2,195851040
7366,S02000166,54.843094,-3.9696627,273530.9,551523.1,182817220
7367,S02000167,54.91933,-3.746257,288085.34,559623.94,115349430
7368,S02000168,54.923008,-3.9113863,277514.94,560309.4,95248630
7369,S02000169,54.90326,-5.0181427,206515.42,560610.94,1543070.1
7370,S02000170,54.90894,-5.039285,205187.92,561301.2,1218768.5
7371,S02000171,54.925266,-4.7405443,224402.5,562326.4,592351300
7372,S02000172,54.918564,-5.1049204,201029.73,562556.4,150447900
7373,S02000173,54.960285,-4.2006865,259109.4,565000.94,601472700
7374,S02000174,54.97936,-3.242857,320463.97,565613.94,5965937.5
7375,S02000175,54.983887,-3.7004178,291197.38,566733.5,204719820
7376,S02000176,55.004696,-3.1063683,329242.7,568286.1,53144272
7377,S02000177,55.012894,-3.2128608,322448.16,569311.44,36415404
7378,S02000178,55.03681,-3.424482,308971.94,572227.5,261616180
7379,S02000179,55.027588,-4.4906015,240819.17,573109.6,505975900
7380,S02000180,55.045124,-3.5880182,298543.44,573377.7,8485124
7381,S02000181,55.06209,-3.5757449,299370.06,575247.7,773589.6
7382,S02000182,55.063007,-3.6124926,297025.84,575402.94,656216.44
7383,S02000183,55.069424,-3.6652906,293671.5,576195.75,33327000
7384,S02000184,55.07395,-3.5796905,299147.94,576572.56,4762954
7385,S02000185,55.073353,-3.6277394,296079.1,576576.7,1861172.4
7386,S02000186,55.076035,-3.6086738,297303.06,576846.5,2821452
7387,S02000187,55.085953,-3.6321476,295830.44,577985,1370103.4
7388,S02000188,55.093815,-3.5800037,299177.94,578783.2,8297657.5
7389,S02000189,55.103973,-3.5784988,299299.5,579911.06,947832.4
7390,S02000190,55.13959,-3.1944697,323865.03,583387.6,360309920
7391,S02000191,55.143375,-3.7253177,290042.44,584516.3,246047260
7392,S02000192,55.166122,-3.5152473,303484.38,586736.5,145610450
7393,S02000193,55.17258,-4.064305,268537.28,588351.56,972010800
7394,S02000194,55.18493,-3.3971584,311047.56,588671.94,143068290
7395,S02000195,55.189976,-3.0038538,336094.97,588802.75,328224930
7396,S02000196,55.269733,-3.7396803,289477.8,598596.94,214956740
7397,S02000197,55.322456,-3.3509262,314287.3,603915.8,469020320
7398,S02000198,55.3822,-3.9416971,276994.12,611448.1,274468350
7399,S02000199,56.45745,-2.983246,339409.4,729827.44,1056267.6
7400,S02000200,56.457508,-3.0143788,337491.1,729861.94,3127394.2
7401,S02000201,56.46312,-2.976005,339864.56,730452.1,1228819.1
7402,S02000202,56.464867,-2.9926703,338840.6,730661.06,767106.06
7403,S02000203,56.465466,-2.958355,340955.66,730697.7,1112792.9
7404,S02000204,56.4677,-3.0129116,337598.22,730994.94,1280424.5
7405,S02000205,56.469036,-3.0368319,336126.88,731165.44,1041195.4
7406,S02000206,56.47087,-2.8756852,346056.44,731231.25,1402473.9
7407,S02000207,56.470577,-2.9273393,342874.12,731240.4,1988039.6
7408,S02000208,56.47135,-2.9570765,341043.53,731351.6,544150
7409,S02000209,56.471867,-2.988383,339115.9,731436.1,847043.9
7410,S02000210,56.473347,-2.897852,344694.6,731524.4,1370067.1
7411,S02000211,56.473076,-2.9740613,340000,731558.1,667085.25
7412,S02000212,56.475456,-2.8514643,347554.78,731723.2,1934136.2
7413,S02000213,56.476524,-2.8679442,346541.25,731854.7,1017827.75
7414,S02000214,56.475475,-3.0164504,337393,731863.4,1192793.5
7415,S02000215,56.476192,-2.9491026,341542.16,731883.9,1274447.1
7416,S02000216,56.47557,-3.0366669,336148,731892.3,818843.44
7417,S02000217,56.4777,-2.9672854,340424.62,732066.9,777012.56
7418,S02000218,56.479668,-2.8975713,344721.06,732227.7,700884.44
7419,S02000219,56.479446,-2.9944022,338757.38,732285.1,2365878.8
7420,S02000220,56.479305,-3.052761,335163.12,732323.2,11490745
7421,S02000221,56.481644,-2.933322,342522.34,732477.2,1790429.9
7422,S02000222,56.48367,-2.9145358,343682.22,732686.8,1537938.8
7423,S02000223,56.48673,-2.9662442,340502.88,733071,2307884
7424,S02000224,56.48805,-2.8730052,346245.8,733141.2,6078062
7425,S02000225,56.488,-3.0137935,337577.22,733254.75,2159782.5
7426,S02000226,56.49131,-2.9255476,343015.6,733546.56,1081968.9
7427,S02000227,56.492218,-3.0007193,338389.03,733712.4,1206021.2
7428,S02000228,56.49375,-2.9850593,339355.6,733869.2,1046268.94
7429,S02000229,56.49588,-2.93923,342180.16,734066.44,4152141.8
7430,S02000230,55.303635,-4.374319,249294.66,603558.1,203313360
7431,S02000231,55.381645,-4.516043,240614.61,612551.7,36538756
7432,S02000232,55.394466,-4.181628,261839.83,613263,1497259.1
7433,S02000233,55.434376,-4.461356,244285.72,618293.8,919669.4
7434,S02000234,55.44667,-4.2540693,257441.23,619217.1,1577964
7435,S02000235,55.453396,-4.4021974,248100.62,620278.8,145329570
7436,S02000236,55.45681,-4.267175,256649.3,620372,1780863
7437,S02000237,55.461704,-4.1713343,262725.16,620722.8,493209820
7438,S02000238,55.471626,-4.293172,255060.25,622074,1411525.5
7439,S02000239,55.515827,-4.378573,249831.86,627172.44,1244825.1
7440,S02000240,55.586174,-4.4956293,242724.56,635257.3,1022570.75
7441,S02000241,55.592434,-4.4855223,243386.31,635930.7,1071562
7442,S02000242,55.599808,-4.380587,250025.03,636519.25,1191141.8
7443,S02000243,55.598763,-4.491835,243013.89,636649.2,1900600.1
7444,S02000244,55.601048,-4.453909,245411.7,636818,52593204
7445,S02000245,55.603252,-4.515593,241535.61,637202.5,2336695.5
7446,S02000246,55.607456,-4.3273654,253405.81,637256.44,1522625
7447,S02000247,55.611675,-4.280917,256346.33,637628.8,1118534.9
7448,S02000248,55.607964,-4.4834995,243575.58,637653.94,973989.56
7449,S02000249,55.609104,-4.556196,239002.48,637946.8,10578894
7450,S02000250,55.61185,-4.5061164,242166.97,638137.25,1285287.4
7451,S02000251,55.614098,-4.477649,243968.31,638322.9,1096038.1
7452,S02000252,55.61893,-4.499183,242631.89,638909.44,1301361.4
7453,S02000253,55.62162,-4.4781027,243969.67,639160.9,1258238.2
7454,S02000254,55.62815,-4.497326,242785.73,639930.94,848862.94
7455,S02000255,55.632023,-4.4837666,243654.56,640330.75,1375947.1
7456,S02000256,55.63722,-4.520716,241350.22,640992.5,16001423
7457,S02000257,55.656574,-4.3873053,249819.19,642848.94,275927580
7458,S02000258,55.68176,-4.5220146,241448.75,645950.7,581215.3
7459,S02000259,55.68324,-4.5090184,242271.55,646085.7,1188876.9
7460,S02000260,55.900803,-4.2134175,261624.45,669657.4,1107840.6
7461,S02000261,55.9045,-4.1927857,262927.1,670027.8,1104265
7462,S02000262,55.907867,-4.2055235,262142.94,670428,1065621.6
7463,S02000263,55.90713,-4.3266525,254570.47,670593.8,1324364.4
7464,S02000264,55.9121,-4.2200794,261248.4,670928,2068431.5
7465,S02000265,55.910378,-4.339747,253764.38,670982.6,718460.3
7466,S02000266,55.912773,-4.305755,255897.36,671178,1647375.8
7467,S02000267,55.9182,-4.141502,266179.56,671451.9,1781649.4
7468,S02000268,55.9183,-4.236397,260251.08,671650.56,5519968.5
7469,S02000269,55.9172,-4.319303,255067.33,671698.6,1184290.9
7470,S02000270,55.925182,-4.179301,263842.44,672302.4,7522667.5
7471,S02000271,55.922794,-4.355041,252855.75,672396.4,2763295
7472,S02000272,55.926258,-4.3321815,254296.75,672733.5,1203996.5
7473,S02000273,55.92819,-4.3192234,255113.34,672921.25,1136156.4
7474,S02000274,55.9324,-4.100258,268804.4,672952.56,11127386
7475,S02000275,55.93196,-4.143773,266085.12,672987.1,1077686.9
7476,S02000276,55.93392,-4.344726,253542.1,673612.7,2017665.8
7477,S02000277,55.939682,-4.13928,266392.3,673837.56,931588.6
7478,S02000278,55.943356,-4.2296953,260759.67,674424.3,15181397
7479,S02000279,55.942524,-4.285678,257261.28,674446.06,12551235
7480,S02000280,55.94592,-4.132922,266810.72,674519.2,822400.25
7481,S02000281,55.946987,-4.152086,265617.97,674674.9,6386103
7482,S02000282,55.946495,-4.3090906,255814.27,674936.75,1725990.4
7483,S02000283,55.954636,-4.080747,270097.44,675389.44,7585394.5
7484,S02000284,55.952984,-4.324825,254856.25,675691.25,4123014
7485,S02000285,55.95615,-4.3686657,252131.81,676136.7,15310904
7486,S02000286,55.96924,-4.13804,266571.44,677123.3,8630146
7487,S02000287,55.990337,-4.214185,261895.56,679620.44,56909628
7488,S02000288,55.89735,-2.7411454,353658.12,667307.9,275903460
7489,S02000289,55.896866,-2.9166672,342682.8,667385.4,27107336
7490,S02000290,55.923683,-3.0290093,335702.97,670468.44,16217985
7491,S02000291,55.93065,-2.9660494,339647.66,671187,7022636.5
